-0.293280019864594+0.657219327986545i,-0.559745816632245-1.36071634929628i,1.13345540769641+0.0512087447357343i,-0.257101608442063+0.373898476132031i,0.282621750122695-0.00998976902348627i,0.095672921362539-0.246767160039307i,0.310269334470586+1.11992824879187i,-1.13297117180353-1.6501922884895i,1.02922227533663+0.895587170667954i,-0.0711209906930035-0.0307588829024866i,-0.247159852428121-0.11712189004647i,0.325539531055712-0.105908242815954i,-0.821918540276345+0.394855699180881i,1.26907517247318-1.11567366328622i,-0.876817357229807+1.5119156935897i,0.357917790739537-0.813285265480298i,-0.313552743563593+0.142235531459244i,0.022873623832253-0.144918776018185i,-0.0736873151804813+0.375242520238302i,-0.192794714776855-0.529362283745184i,0.42352760131812+0.121360894775143i,-0.473313490761435-0.200596730658099i,0.457721286922441+0.168632013582245i,-0.162577288549713-0.20442455454643i,0.178805072076482+0.387271007875121i,-0.141547727167262-0.0240437849552938i,0.301415566065269-0.0131568794950862i,-0.56752608482865+0.0914142731538904i,0.242024295283641+0.16878603348516i,0.00639807935649432-0.259457565877112i,0.0288412031571387+0.170962658511193i,0.123394153921679+0.47204384624186i,-1.00560977484743-0.527291682857712i,0.813685613562181-0.0434482069186917i,0.0254207057838269+0.0875015319461754i,-0.383710203615384-0.165367282623596i,0.544729108966425+0.00528878918548103i,-0.209691957111105+0.27067833655681i,-0.170144117033206+0.115073833222713i,0.101134467172665-0.456292556491564i,-0.184000305774307+0.175102602904123i,0.272726843027642-0.14292909855407i,-0.0435606754485732+0.000270593836509733i,0.135914769263091+0.266478596334751i,-0.183714211036794-0.15436852435029i,-0.129531819978732-0.0719712407773122i,0.305982538942521+0.0955021229953122i,-0.151358398203889-0.122826703178631i,0.0705513078119385+0.108820436207524i,0.0347006263121189+0.119146763695375i,-0.0749790968572028+0.00968147188519008i,-0.0893517595870653-0.0337955054918214i,-0.160453240587275-0.0418801925085435i,0.282272324440406-0.172397726394435i,0.0271430134135191+0.277983706623333i,-0.132920595540964-0.330270306874069i,-0.106170701660748+0.369484703284267i,0.205547771947624-0.213005962445744i
-0.424431352797753+1.95996948477305i,-1.44503211204848-1.78734302024948i,1.87200941031853-0.123512417824161i,-0.00586319971061723-0.0817051110852149i,-0.225451617284824+0.927010904439925i,-0.129199307958271-0.0871063842481264i,0.294013723593354-0.284680791551585i,-0.653415080760972-0.911186603090376i,1.07871847053943+0.531278869731652i,-0.0769638669206762+0.788086515679786i,-0.140487735777387-0.141791008747507i,-0.350098458542329-0.315332797895132i,-0.442449391663793+0.532096210203415i,0.976481510103769-1.27490983704078i,-1.0557815751926+1.52464826662224i,0.49077937724787-1.11905081788948i,0.0884091040328227+0.280872710894737i,-0.155820674391415-0.0237016859684038i,-0.182395460539183+0.105042870693909i,-0.0222900799282647-0.197939993681885i,0.152021823866472-0.0208083160572617i,0.0557324031114263-0.347108447622969i,0.0687344229527308+0.4721956760524i,-0.0882706821567645-0.203363752344917i,0.256543228631367+0.353595211802264i,-0.462896788293882+0.0786028853781959i,0.450901627398928-0.171909228650035i,-0.905740851158866-0.0387987389823036i,0.828626442491234+0.1403509117139i,-0.237525411421131+0.160776325270615i,-0.0826133878842993-0.148811458778581i,0.255470177103469+0.759805885374143i,-1.46205260022191-0.618220632275975i,1.01139817110499-0.299795655385028i,-0.0259381531868586+0.201806815284263i,-0.282436883598786-0.307864780935534i,0.598138456565974+0.298358919819638i,-0.362525806928969-0.0905345449807949i,-0.0939052715005804+0.373153759858487i,-0.0296920887294578-0.565972211519748i,0.0506052102927988+0.140105896986309i,0.114004010166776+0.0151986542197088i,-0.278864251376328-0.208437918653437i,0.605400520383244+0.00260438839064734i,-0.261058609796403+0.417972508855045i,-0.371146109388642-0.31495381826364i,0.438225577255547+0.0225146904319006i,-0.253327515448391-0.164301090532095i,0.0995961174155488+0.0258584289358755i,0.402059769027348+0.0856204821553031i,-0.240413126537276+0.164594661862499i,-0.0602431483902493+0.241324517547825i,-0.4140861099254-0.31136678564342i,0.449401503101333-0.335852053627768i,-0.0335666099523721+0.545261391847864i,-0.00061267659405566-0.503010017073104i,-0.132090689109352+0.561458207520448i,0.143304215704021-0.470740923019717i
-0.492184429495654-0.740379658266958i,-0.811165328064855-0.252643695906318i,1.28557644493844-0.592249377026149i,-0.909747310671297+0.653237242853335i,1.05321450331852-1.05292130772743i,0.0131978864263+0.535595923958746i,-0.0469517900028177+0.914143563537269i,-0.371480871928074-1.79115424866476i,0.766790423731315+1.40102777029781i,-0.271356597521473-0.200135901532407i,-0.196599502277823-0.00578666977892948i,-0.0752537529529369-0.298742330225944i,0.107246831279439+0.312328263998141i,0.124871807067373-0.407632614399021i,-0.444278549749701+0.229472258002393i,0.612106705294268-0.125883089317406i,-0.417051761136993-0.0254018725191798i,-0.00372511793330214+0.193156542718354i,-0.163664946938512-0.247481990065896i,0.2301219213235-0.271453283020576i,-0.0473218330713724+0.419913134796i,-0.168012192528759-0.398799533824226i,0.196457765697533+0.0516510058446698i,0.0398010750124359-0.108184366617256i,0.289989705870095+0.378331421718165i,-0.550369939545218-0.158918050839389i,0.373282011836752-0.00238797492227851i,0.128192226083318+0.0956200206550507i,-0.489287881752735+0.215556314481463i,0.344325611850828-0.635135617441786i,0.140850156970368+0.852367661990493i,-0.208192498690385-0.106381186223845i,-0.484463438626161-0.363581763932521i,0.659019028147489+0.0467578077878636i,-0.0420451843871717+0.195803876329645i,-0.362468760143473+0.0847770915781124i,0.0630291366261237-0.316674497287592i,0.232548348832765+0.164761385497303i,-0.344794914936031+0.176531473003374i,0.414696320012001-0.426639809194178i,-0.504991965904124+0.379820029147768i,0.256088358475008-0.345153564588021i,0.139103027138105+0.181799403896129i,-0.296924213380945+0.0549759435645541i,0.326717973830864-0.338673515067918i,-0.217921107413426+0.378306867671892i,0.0750556279126615+0.0554357172169625i,-0.095450458868843-0.354488803173507i,0.229699187603046+0.312324511919888i,-0.261725357802723-0.00770425538514158i,0.0420343384204687+0.0212947917573068i,0.0303208983293547-0.190369164210844i,-0.0984623893628255+0.236036357739343i,0.019062781373022-0.291962709900631i,0.33684920290545+0.303059143712072i,-0.432970326295143-0.225171003336913i,0.135007091789316+0.0668900026183092i,0.257705191766239+0.253473503285676i
0.135152810100008-0.282222720417533i,0.50529784481566-0.13952569532239i,-0.311615957858069+0.333855179559982i,-0.160099823123667-0.071498824704581i,0.00552237047705466-0.384302794569842i,0.575775358794008+0.0401436741442692i,-0.360212840086208+0.65155532603017i,0.0580042520576201-0.974589242054763i,0.297175191342263+0.587892169354785i,-0.305390394405336+0.0916035037286528i,0.125695191795036-0.425917273543239i,0.190792351199618+0.245216788977782i,-0.224353771309582+0.204094265188475i,0.252886097894813-0.440996081488785i,-0.507709997220958+0.496530899074254i,0.348597332328861-0.506053842224021i,0.0105130412131481+0.0836902522413727i,-0.00732997359359437+0.07928664797431i,-0.0714933458800068+0.209260070767286i,-0.0387989731732773-0.616625277397042i,0.43178484926031+0.533192819162011i,-0.45229122046914-0.186490962580572i,0.603237654316865+0.198633355378431i,-0.6740274200978-0.00415009393086955i,0.212104582180998+0.119569584352756i,0.00380287891723486-0.0546210475633351i,0.0848302862528268-0.14110586710802i,-0.232037538374283+0.323617638891671i,-0.0713497359896805-0.0640296838981668i,0.0943900241930445-0.327216777796065i,0.0265684776392492+0.22957695799743i,0.178487287540615+0.358903100795536i,-0.817744045035685-0.26259755562555i,0.486125522786346-0.285256430356209i,-0.0309378310707259+0.137233321940799i,-0.0649860090261449-0.217397482632455i,0.360322179975521+0.0938053029993683i,-0.341056448483113+0.241604984487713i,0.206816280961803-0.071369239949246i,-0.270177369911658-0.0540746340499438i,0.0489933714287114-0.170934004016596i,0.106550652088931+0.022660752391301i,0.053820114703707+0.0528186331715872i,0.0628614181080503+0.116806043440399i,-0.359344932923566-0.0207253642951944i,0.117222115808571-0.419598597689366i,0.453837688943993+0.240542177039589i,-0.396340780123483+0.195300505039521i,0.143025537320662-0.211002136456856i,0.0389649610940581+0.304394790017956i,-0.272440595837589-0.250969040794731i,0.175423378622556-0.16505810160559i,0.0594960343351894+0.26031385672362i,0.142146785085627-0.0747319921657573i,-0.306943112052768+0.221516183618992i,0.279623805763228-0.341201519141945i,-0.482303289270156+0.210274981745883i,0.335824254648118-0.0719341345609725i
0.222452389780543+0.446590121151457i,0.591760694391592-0.255642057400357i,-0.576736042327625+0.093433711552729i,0.26530542040704-0.0342577445806802i,-0.213793301067787+0.0321285359005471i,0.232451320250691+0.114359724421022i,-0.604621538054047-0.0625903978261186i,0.879454870241021-0.708639210888519i,-0.0383354198628676+0.804562809447465i,-0.593601909096093-0.0259928413051424i,0.216794194266482-0.3181716948351i,0.412671860745562+0.030427853810721i,-0.662832933278898+0.0873748781005785i,0.899114300620479-0.349984651857368i,-0.669352611966617+0.58019512417962i,0.408267493497938-0.339248484494682i,-0.16460500903487+0.115117809261709i,0.152363700193969+0.029071249847075i,-0.110920725904504+0.133198612108918i,-0.20389185742894-0.296152841653154i,0.58269956486845+0.217610112207383i,-0.465187931518663-0.126870007650718i,0.690261916865213+0.315229102459288i,-0.762971240449796-0.0304526761377434i,0.187615122366129+0.0765030498320446i,0.10763344194726+0.136665138202795i,-0.0830583414819418-0.259602032411773i,-0.146375061133962+0.165850735286772i,-0.12749225506025+0.0668820162368021i,0.281051352280054-0.135447125427133i,-0.231816061041229-0.00474571240445563i,0.0993956368974753+0.478258265325652i,-0.686566199576534-0.434373125262755i,0.426165547199-0.237870514083467i,-0.0711504357068573+0.0289672706148774i,0.111145578885218-0.207912256126381i,0.325579394721602+0.195478015130922i,-0.366249972772782+0.175841869927209i,0.181895059871441-0.111419645080248i,-0.211453922899457+0.0859830234995859i,-0.0416161133059472-0.200202494439409i,0.149256375958074-0.217072667495693i,0.0294146285315136+0.266843068136964i,0.330402479277373-0.177220420914595i,-0.610133125475984+0.563541768295402i,0.180903020571614-0.871426626059053i,0.362998206236346+0.284277088274972i,-0.287882654634026+0.273323832456196i,0.0990009423390493-0.415831008552017i,0.226190832162071+0.455934135536776i,-0.210450200155263-0.26322324950251i,-0.0791312496786941+0.120219746464039i,0.0932501853456644-0.0427593602676065i,0.0709394538232673+0.0376814680308954i,-0.206405494884906+0.0973911966257625i,0.26187151096038-0.248675528938782i,-0.498634734139866+0.296066598695348i,0.187123054649536-0.357290505067131i
0.00465405299588458+1.47625785648829i,-0.0816994954907668-1.0733893910078i,0.0347253508807208+0.197145420498742i,0.556768716920237-0.251195320551119i,-0.484917399631667+0.803663616235449i,-0.12304791636654-0.268024820299334i,-0.147290679175641-0.416959775074123i,0.871257782477382-0.380578727041727i,-0.228179508470826+0.62228324847196i,-0.513819462926878+0.104414758260657i,0.466426889876032-0.256071042662841i,0.0136301952764361-0.332483971770416i,-0.331505265668562+0.563970381286181i,0.811703877352587-0.671500438988523i,-0.851996288691807+0.725523918284234i,0.397344922378151-0.431941366243782i,0.0650809321782152+0.141285569685566i,-0.0843821046453223-0.0631437016837232i,-0.0190822046028019+0.210157557331686i,-0.329241533252683-0.362204781377429i,0.44666674824737+0.0959575789439489i,-0.055450140356594-0.236921252257798i,0.518032909492287+0.368199357648164i,-0.584169341958408+0.152165040707648i,0.133300592134835+0.071369202068009i,-0.0915101496747129+0.137859733832123i,-0.0339094786333721-0.195106548703819i,-0.322611762804977-0.0296975439630233i,0.205311855781822+0.0586196086318456i,0.134208642479165+0.0341036356579807i,-0.258915539368186-0.00444417427452086i,0.259033375325501+0.403736535850484i,-1.01688172837243-0.279781879049601i,0.497550740181964-0.393205620147352i,0.0820105866052799+0.0848119738220212i,-0.0106375483285826-0.271882276900738i,0.4246687474278+0.331909251775874i,-0.389949619113831+0.184664952896305i,0.0801275992593525-0.12065000942983i,-0.477746774331572+0.141328095211679i,0.268799410294777-0.451935295477101i,0.0847771439815326-0.208568403747924i,0.0243126005125722+0.43015877916997i,0.308628808704336-0.346078975545601i,-0.434638910198794+0.646650863336391i,0.0808739214236446-0.795417099929837i,0.101416142773554+0.377100350708376i,-0.0714938920502394-0.140584060611119i,0.121578700860141-0.242789714384106i,0.363553432267758+0.423332989912254i,-0.247167121631184-0.0142225424600047i,-0.157156094136396+0.173363411579991i,-0.247676021038908-0.204653448971867i,0.390361315341511-0.199336542673282i,-0.291096151830436+0.29722122599582i,0.405019882580241-0.300393824479655i,-0.595660662117516+0.484790329532088i,0.231723523563798-0.635969056623731i
-0.844211265548307+1.99027170873995i,-0.632196804697548-2.37119909887784i,0.727239566371741+0.674279987146533i,0.649598560852551-0.939884822198741i,-0.797679519052409+1.07109420518783i,0.198107814111945+0.00111526968904306i,0.0640404874460486-0.789781396160729i,0.236432939107182-0.418133764240109i,0.190745725185328+0.357461202216957i,0.378590939776468+0.695082850045416i,-0.0298408317970437+0.258928606209197i,-0.61255572478586-0.61660758922404i,-0.30882062013223+0.69447510509464i,0.837016695207882-0.99751601253065i,-0.853238466958135+0.896068789575756i,0.04764511696668-0.414169096633139i,0.623183536288705-0.324604618633195i,-0.645891738393459+0.474071622506585i,0.106303698670088-0.653913032338233i,0.216930045967299+0.585910752077922i,-0.542890768678148-0.272065968329765i,0.61621405623897-0.564157309019456i,-0.238019833708308+0.423682929062939i,0.412141774315485-0.161565101094946i,0.179088679309658+0.525236080570016i,-0.880927958297429+0.122862691446726i,0.511805568750027-0.301125907859652i,-0.50669380720683-0.192130052037635i,0.402811614809304+0.447908693828141i,0.0330966319705115-0.423386328598897i,-0.0635761585901436+0.678833999603581i,-0.1937208251896+0.111522499988488i,-1.0305964542287-0.65672299971258i,1.14145869510941-0.282119748254916i,-0.0842586450596501+0.495871771097413i,-0.247709281599711-0.254987609619009i,0.204572220972682+0.355242699220253i,-0.121665001778154-0.283103650098802i,-0.170574108287178+0.159587411382237i,0.0672204307273686-0.171016641334357i,0.0213732098080453+0.106641570988611i,-0.146668794753018-0.291413783184458i,0.0571578649795403-0.00925100314859364i,0.322802979413379-0.0962885596331834i,0.192366559087038+0.372631625547855i,-0.425858661221829-0.0589593087232202i,-0.137697082656707+0.281813995851998i,0.123294680796044-0.824874970147186i,-0.00441897971402354+0.31512895717419i,0.558251561925343+0.0902776438971887i,-0.304361081284242+0.168566293999062i,-0.0235861676257513+0.237756917308428i,-0.515967598012585+0.0351832920143895i,0.178302556458376-0.786920373862756i,0.178500707781831+0.540611400676748i,-0.105850421282208-0.395432752932863i,0.35676210300621+0.422575128548312i,-0.21644965814386-0.30468102867895i
-0.0218857230641092-1.1155279203285i,-0.02069755629259+0.0844389049956021i,0.413438078001117+0.0358095686444699i,-0.779318274370868+0.267835047106493i,0.742215523408742-1.00610355186845i,0.267858927409567+0.567719051707882i,-0.341540417453661+0.526084814053745i,0.195260797161058-0.848766038962987i,0.00892654877569938+0.600031323179362i,0.0128480441533696-0.0316988370643277i,-0.233364833984018-0.057091172595732i,0.179271505234859-0.263524484353624i,0.0135601397290321+0.171218472311575i,0.182529587969547+0.152050910105004i,-0.468993885329021-0.135001416890627i,0.433463521977037-0.081477253022543i,-0.178182430602129+0.0831184912568664i,-0.211233175875809+0.139993653133144i,0.0530195084007129-0.268430486915777i,0.184947360154972-0.273932489101743i,0.0288371187347317+0.446034595642139i,-0.0796783491774724-0.304636883319773i,0.159857009544614+0.234396673633723i,-0.168528201935889-0.0566263117913888i,0.136548659215794+0.146547535656774i,-0.252375436857021-0.183370443400639i,0.115279041393345+0.0185752542432843i,0.0991873878825524+0.143935760259678i,-0.329136178959221-0.0545317637289033i,0.216323354283611-0.424481882599215i,0.0893442828172398+0.459533347986197i,0.056163483335904-0.0871664617529597i,-0.348307719561907+0.0729805158353724i,0.298862058055053-0.272610931380761i,-0.0111991783430911+0.244243153565649i,-0.226018796403035-0.0151013629458736i,0.211275728556153-0.215297467167071i,-0.140921417357122+0.228932367157667i,0.0340095838446718-0.0777274675059834i,0.135956145442687-0.115324392821084i,-0.222614723734326+0.0419635740409605i,0.218274254229925+0.0115207952886066i,0.0450288236614404+0.217896498320923i,-0.270651974230194-0.0725191118042116i,-0.0100665544368466-0.203632788461998i,0.0323193974732977+0.0683322175052423i,0.186547506647223-0.058158668156229i,-0.100861422180936+0.116677621250879i,0.0842445716372836-0.000478099620027454i,-0.110214310500735+0.0484981268258606i,-0.127938734732176+0.0813131398969839i,0.105252720612504-0.506610373871541i,0.185951676541079+0.413914679606197i,-0.0180024713743425-0.0325003704392979i,-0.0913117491217686+0.113942926093096i,0.0591109774343411-0.172077156423418i,-0.196410201196317+0.0329622678724026i,0.30085023388187+0.181115553584277i
0.603374001498081-0.484786701040967i,0.489579589949469+0.449398315000739i,-0.686845282313443+0.0808286478184897i,0.0859049937611859-0.0381550469215598i,-0.183442950750978-0.40109960548422i,0.516883625155887+0.11224535220063i,-0.623527970303374+0.214593343749855i,0.928156089571546-0.471961212441674i,-0.298105754542518+0.566673217918607i,-0.374445090393438-0.0471933826838908i,0.0828321951427076-0.213932344116759i,0.37532208434435-0.0891872881144994i,-0.414038768328507+0.104684073206063i,0.630831623759086-0.153846129049357i,-0.330145810027709+0.321648090650806i,0.13220066265192-0.124645088292541i,-0.176395195171573+0.0981024257059992i,0.177910260791105-0.0431933376771i,-0.0794483632955705+0.0903344807139116i,-0.128585697190887-0.226606897606933i,0.550288310537507+0.168725439304442i,-0.440171519183471+0.0845774688085348i,0.415117327645231+0.210581995739507i,-0.645301342006567-0.0502109031245308i,0.140383979130193-0.142099314371563i,0.402035231204792+0.125834934972184i,-0.371466253012217+0.0261676139161246i,-0.0739689845422102-0.0224356109454194i,-0.0736599660427038+0.0664465960602963i,0.142380016105239-0.259714603899152i,-0.0751943081325932-0.0228954527067296i,0.0845861012561471+0.392268736535814i,-0.360321192401499-0.222488504972949i,0.130068133669426-0.314002080153013i,0.0564656537107875+0.112634286466796i,0.0289282916405925-0.22125358312648i,0.378075979933539+0.193248775784383i,-0.540564122467876+0.140502280743234i,0.506066676114471-0.159609385608683i,-0.418145689702229+0.189917437668229i,0.0992070648950254-0.262136346718654i,0.0968265248833073+0.0218797211068199i,-0.0746351750837943+0.112685192680292i,0.294447030167998-0.117623860462417i,-0.54998065316287+0.345337087490947i,0.222780945753747-0.612503603907127i,0.357961823195868+0.0928019484826117i,-0.317525739315169+0.450208940257723i,0.186128085283387-0.459483258840725i,0.0381291853426405+0.457333582079764i,-0.162885922863098-0.291225215960417i,-0.00306027251865024-0.0712706612694829i,0.253691830269179+0.213369524806231i,-0.112967036222664+0.102201387423803i,-0.211837459595447-0.125952213288102i,0.338557586308855-0.00430766235232941i,-0.479756704795291-0.00346973151537874i,0.174699518556123-0.0511968523540178i
0.323966538563153+0.163164927387634i,0.644520740600893+0.0300100350012229i,-0.69497827702754+0.159652218897416i,0.463215475040956-0.176677749467972i,-0.345880606550556+0.127138477710445i,0.131421181804343+0.10168846000905i,-0.574310417381021-0.297763490158138i,1.34782988570292-0.240101606497269i,-0.685434960369238+0.640798148713629i,-0.418761769169627-0.110738924738154i,0.149706691080682-0.204659398371928i,0.397182183354025-0.343084894182645i,-0.296845436864216+0.2882073399533i,0.569537971409899-0.0725370995100455i,-0.53100666941334+0.148216067493142i,0.32331519514919-0.0627657587963344i,-0.097293164723653+0.040302669362033i,0.167508369740776+0.144399174915287i,-0.150689829107566-0.0166990819236835i,-0.2928103035775-0.0640622878919813i,0.518752738473277-0.0366899057126938i,-0.272476139108257-0.00365597734752675i,0.442805621205497+0.157677776605902i,-0.542780627475718+0.213801512160153i,0.0530367829783872-0.207520924812219i,0.204061158101616+0.230125331719664i,-0.221240921085728-0.215592558851216i,-0.0530107487078473+0.0513290627048225i,-0.0700292607199827+0.0291596921214413i,0.257739076978603+0.0602545876868068i,-0.334982689598739-0.218658730941223i,0.189195427225948+0.399245062338104i,-0.422349777792618-0.257505606028174i,0.0774569044351348-0.223107117310254i,0.0988789625130661-0.0537142166642458i,0.11439166390743-0.137671832035819i,0.312915207816112+0.248965927335579i,-0.509453244055458+0.12973557220188i,0.412220586189216-0.279161408870518i,-0.448671846769891+0.397812224283632i,0.159028864734517-0.366981238212515i,0.0190769476851353-0.256479575389999i,0.0918089767859559+0.408825772470591i,0.208383798624261-0.270022639198728i,-0.522224042096324+0.544281239410084i,0.233919687246079-0.796692711599673i,0.187564993692096+0.22111158878802i,-0.226062409087532+0.275730876321206i,0.222042654488682-0.49529818998222i,0.131026160138118+0.439091290418919i,-0.0540626792515702-0.142367466308199i,-0.147607313395108+0.170132387546098i,-0.0027432357617471-0.044913711792855i,0.0111382234774532-0.0467311094225737i,-0.166988120015769-0.0849046612357397i,0.488463776972165+0.03187282861315i,-0.592455139965166+0.182983284181244i,0.0946395203493324-0.331384535996346i
